slide_role,slide_indicator,kicker,explanation_line,title,subtitle,authors,key_finding,statement
paper_showcase,05 / 06,CAMO RESEARCH,Similar topics we explored.,Toward a Bad Job Economy,"AI Adoption, Agency Costs, and Job Design","By Matthias Fahn, Jin Li, Chang Sun  ·  2026  ·  Working Paper",[TO FILL: ≤30-word pull quote],
cta_close,06 / 06,CAMO RESEARCH,,,,,,"More from HKU Centre AI, management, and organisations at camo.hku.hk"
